City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,aasiaat,68.7098,-52.8699,-16.88,94,74,2.98,GL,1713323243
110,enriquillo,17.9,-71.2333,25.09,79,54,1.96,DO,1713323493
111,rock springs,41.5875,-109.2029,10.58,43,0,7.72,US,1713323211
112,luderitz,-26.6481,15.1594,14.79,79,0,3.04,NA,1713323494
113,sao gabriel da cachoeira,-0.1303,-67.0892,24.69,98,100,0.62,BR,1713323494
114,talnakh,69.4865,88.3972,-9.89,94,100,3.35,RU,1713323244
115,vanimo,-2.6741,141.3028,29.1,79,93,1.68,PG,1713323494
116,stanley,54.868,-1.6985,2.62,84,0,4.63,GB,1713323244
117,okhotsk,59.3833,143.3,-0.87,94,95,0.78,RU,1713323494
118,ust'-ilimsk,58.0006,102.6619,-1.42,61,77,3.13,RU,1713323245
119,lompoc,34.6391,-120.4579,16.58,88,0,4.12,US,1713323495
120,carutapera,-1.195,-46.02,25.27,95,100,1.7,BR,1713323495
121,lerwick,60.1545,-1.1494,5.0,72,12,4.47,GB,1713323495
122,thompson,55.7435,-97.8558,0.19,98,100,4.66,CA,1713323495
123,albany,42.6001,-73.9662,10.23,54,21,1.8,US,1713323245
124,santana,-0.0583,-51.1817,28.1,89,40,1.54,BR,1713323496
125,beau vallon,-20.4189,57.6953,24.01,76,96,8.85,MU,1713323496
126,susuman,62.7833,148.1667,-4.58,79,100,1.23,RU,1713323246
127,port lincoln,-34.7333,135.8667,17.04,66,26,5.52,AU,1713323246
128,salinas,36.6777,-121.6555,17.45,77,0,3.09,US,1713323496
129,arraial do cabo,-22.9661,-42.0278,24.66,83,15,9.96,BR,1713323497
130,ocos,14.5094,-92.1933,27.1,74,9,3.03,GT,1713323497
131,hakha,22.65,93.6167,27.71,27,0,2.17,MM,1713323497
132,lobujya,27.95,86.8167,-4.88,39,94,1.28,NP,1713323497
133,tura,25.5198,90.2201,32.77,39,25,3.01,IN,1713323497
134,rosario do sul,-30.2583,-54.9142,15.21,87,0,5.0,BR,1713323248
135,vangaindrano,-23.35,47.6,21.4,86,100,2.4,MG,1713323498
136,pathardi,19.1667,75.1833,33.7,26,88,4.98,IN,1713323248
137,olonkinbyen,70.9221,-8.7187,-2.22,76,100,6.69,SJ,1713323498
138,tralee,52.2704,-9.7026,8.02,75,69,4.8,IE,1713323344
139,ust-nera,64.5667,143.2,-3.71,84,95,2.18,RU,1713323498
140,suining,30.508,105.5733,24.0,64,74,1.63,CN,1713323499
141,khamis mushait,18.3064,42.7292,14.34,58,0,3.09,SA,1713323249
142,bel ombre,-4.6167,55.4167,29.1,75,100,2.83,SC,1713323249
143,laguna,38.421,-121.4238,20.99,65,0,3.09,US,1713323409
144,scottburgh,-30.2867,30.7532,19.92,85,10,5.65,ZA,1713323249
145,muynoq,43.7683,59.0214,18.96,33,0,2.12,UZ,1713323499
146,afipskiy,44.9021,38.8439,15.03,34,4,4.47,RU,1713323250
147,dzuunharaa,48.8523,106.4579,7.32,54,98,6.23,MN,1713323500
148,perry,37.2506,-83.1999,24.4,80,100,1.8,US,1713323500
149,chinde,26.8418,88.0763,25.87,34,93,2.82,NP,1713323251
150,morant bay,17.8815,-76.4093,28.79,87,28,5.89,JM,1713323429
151,manati,18.4275,-66.4921,25.95,92,72,3.98,PR,1713323500
152,rensselaer,42.7168,-73.4829,8.69,62,7,1.32,US,1713323501
153,lepsy,46.235,78.9456,13.23,60,98,1.27,KZ,1713323251
154,mount gambier,-37.8333,140.7667,16.72,56,81,4.29,AU,1713323501
155,vadso,70.0744,29.7487,-2.91,74,75,7.2,NO,1713323252
156,shimoda,34.6667,138.95,20.65,70,21,5.03,JP,1713323252
157,cacequi,-29.8836,-54.825,15.38,90,1,5.2,BR,1713323501
158,ciudad melchor muzquiz,27.8833,-101.5167,27.43,48,79,3.14,MX,1713323501
159,cannonvale,-20.2833,148.7,25.66,72,83,6.05,AU,1713323502
160,mount pearl,47.5166,-52.7813,7.4,96,100,0.89,CA,1713323253
161,khandyga,62.6667,135.6,0.61,92,90,2.01,RU,1713323253
162,male,4.1748,73.5089,28.77,76,77,7.02,MV,1713323502
163,kapuskasing,49.4169,-82.4331,-0.18,83,95,3.73,CA,1713323254
164,grand falls-windsor,48.9332,-55.6649,6.39,93,100,1.79,CA,1713323503
165,sibay,52.7181,58.6658,6.79,79,98,3.58,RU,1713323503
